ID         Имя процесса                   Приоритет       Время запуска             Состояние            Время CPU           
-----------------------------------------------------------------------------------------------------------------------------
0          Idle                           0               Нет доступа               Работает             Нет доступа         
4          System                         8               Нет доступа               Работает             Нет доступа         
188        Secure System                  8               Нет доступа               Работает             Нет доступа         
232        Registry                       8               Нет доступа               Работает             Нет доступа         
696        smss                           11              Нет доступа               Работает             Нет доступа         
924        csrss                          13              Нет доступа               Работает             Нет доступа         
720        wininit                        13              Нет доступа               Работает             Нет доступа         
820        csrss                          13              Нет доступа               Работает             Нет доступа         
828        services                       9               Нет доступа               Работает             Нет доступа         
1052       winlogon                       13              Нет доступа               Работает             Нет доступа         
1084       LsaIso                         8               Нет доступа               Работает             Нет доступа         
1096       lsass                          9               Нет доступа               Работает             Нет доступа         
1256       svchost                        8               Нет доступа               Работает             Нет доступа         
1288       fontdrvhost                    8               Нет доступа               Работает             Нет доступа         
1296       fontdrvhost                    8               Нет доступа               Работает             Нет доступа         
1364       WUDFHost                       8               Нет доступа               Работает             Нет доступа         
1424       svchost                        8               Нет доступа               Работает             Нет доступа         
1480       svchost                        8               Нет доступа               Работает             Нет доступа         
1616       svchost                        8               Нет доступа               Работает             Нет доступа         
1636       svchost                        8               Нет доступа               Работает             Нет доступа         
1664       svchost                        10              Нет доступа               Работает             Нет доступа         
1676       svchost                        8               Нет доступа               Работает             Нет доступа         
1684       svchost                        8               Нет доступа               Работает             Нет доступа         
1700       svchost                        8               Нет доступа               Работает             Нет доступа         
1840       svchost                        8               Нет доступа               Работает             Нет доступа         
1868       svchost                        8               Нет доступа               Работает             Нет доступа         
1928       svchost                        8               Нет доступа               Работает             Нет доступа         
2028       svchost                        8               Нет доступа               Работает             Нет доступа         
1188       svchost                        8               Нет доступа               Работает             Нет доступа         
1172       svchost                        8               Нет доступа               Работает             Нет доступа         
1980       svchost                        8               Нет доступа               Работает             Нет доступа         
2060       svchost                        8               Нет доступа               Работает             Нет доступа         
2208       svchost                        8               Нет доступа               Работает             Нет доступа         
2280       svchost                        8               Нет доступа               Работает             Нет доступа         
2480       dwm                            13              Нет доступа               Работает             Нет доступа         
2528       svchost                        8               Нет доступа               Работает             Нет доступа         
2552       svchost                        8               Нет доступа               Работает             Нет доступа         
2808       svchost                        8               Нет доступа               Работает             Нет доступа         
2888       svchost                        8               Нет доступа               Работает             Нет доступа         
2964       svchost                        8               Нет доступа               Работает             Нет доступа         
2992       amdfendrsr                     8               Нет доступа               Работает             Нет доступа         
3000       atiesrxx                       8               Нет доступа               Работает             Нет доступа         
